date,Pretax Income,Tax Provision
2023-09-30,257000000.0,-39000000.0
2023-12-31,364000000.0,-297000000.0
2024-03-31,64000000.0,-52000000.0
2024-06-30,299000000.0,41000000.0
2024-09-30,737000000.0,-27000000.0
9/30/2023,257000000,-39000000
12/31/2023,364000000,-297000000
3/31/2024,64000000,-52000000
6/30/2024,299000000,41000000
9/30/2024,737000000,-27000000
