date,market capitalization,market weight
11/24/2024,224515768320,0.011674687010333694
11/25/2024,229027184640,0.011933823750501851
11/27/2024,221091643392,0.011587629933064747
11/28/2024,221091643392,0.011586189880408515
11/29/2024,222608965632,0.011559459086941549
12/3/2024,230406553600,0.0117898680110913
12/4/2024,233668411392,0.011737262341992584
12/5/2024,233668067328,0.011791062429129757
12/9/2024,212377141248,0.010751008498314046
12/10/2024,207297740800,0.010633337097219331
12/11/2024,211208716288,0.010680152044088105
12/12/2024,211939000320,0.01077121966430307
12/13/2024,211208699904,0.0106935559198075
12/16/2024,205593804800,0.010335904334550412
12/17/2024,202883694592,0.010252485474017501
12/18/2024,197025366016,0.010281572123183935
12/19/2024,192919650304,0.010066683820657731
