Date of Article,Time of Article,title,published,type,link,PTR Headline Sentiment,Flair Headline Sentiment,Flair Score
11/12/2024,12:37:30,Dollar Index: Investors Buy Dollar as Trump Trade Ramps Up,FX Empire,STORY,https://finance.yahoo.com/news/dollar-index-investors-buy-dollar-123730520.html,0.536,NEGATIVE,0.87
11/06/2024,14:50:49,US: Clear-cut Trump Victory Raises Medium-term Economic Risks Despite Reduction of Near-term Political Uncertainty,FX Empire,STORY,https://finance.yahoo.com/news/us-clear-cut-trump-victory-145049749.html,0.518,POSITIVE,0.531
10/02/2024,11:00:49,China and Middle East tensions push commodities into the spotlight: Morning Brief,Yahoo Finance,STORY,https://finance.yahoo.com/news/china-and-middle-east-tensions-push-commodities-into-the-spotlight-morning-brief-100049648.html,0.514,POSITIVE,0.935
09/25/2024,11:00:39,What China's biggest stimulus since the pandemic means for US investors: Morning Brief,Yahoo Finance,STORY,https://finance.yahoo.com/news/what-chinas-biggest-stimulus-since-the-pandemic-means-for-us-investors-morning-brief-100039804.html,0.527,POSITIVE,0.593
08/29/2024,09:25:12,3 Market Movers to Watch Out For Next Week,FX Empire,STORY,https://finance.yahoo.com/news/3-market-movers-watch-next-082512774.html,0.613,POSITIVE,0.797
12/02/2024,08:40:10,"BRICS, De-Dollarization, and the US Trade War: What’s at Stake?",FX Empire,STORY,https://finance.yahoo.com/news/brics-dollarization-us-trade-war-084010465.html,0.523,NEGATIVE,0.961
