Date of Article,Time of Article,title,published,type,link,PTR Headline Sentiment,Flair Headline Sentiment,Flair Score
11/24/2024,13:13:33,"Goldman Sachs: Advanced Micro Devices, Inc. (NASDAQ:AMD) Is A Top AI Growth Investor Stock",Insider Monkey,STORY,https://finance.yahoo.com/news/goldman-sachs-advanced-micro-devices-131333819.html,0.642,POSITIVE,0.989
11/24/2024,12:45:00,Here Are My Top Artificial Intelligence (AI) Stocks to Buy Right Now (Hint: Nvidia's Not on the List),Motley Fool,STORY,https://finance.yahoo.com/m/332c9321-5b9d-3d22-8305-b75b49854775/here-are-my-top-artificial.html,0.596,POSITIVE,0.6
11/24/2024,11:10:00,Better Artificial Intelligence Stock: Broadcom vs. AMD,Motley Fool,STORY,https://finance.yahoo.com/m/02ce69a0-8c16-3bc3-b899-ab8d3393b451/better-artificial.html,0.656,NEGATIVE,0.985
11/24/2024,04:16:09,"Advanced Micro Devices, Inc. (AMD) Set to Expand AI Portfolio with Affordable Krackan Point Processor Leak",Insider Monkey,STORY,https://finance.yahoo.com/news/advanced-micro-devices-inc-amd-041609077.html,0.59,POSITIVE,0.896
11/23/2024,21:05:00,Can Anything Stop Nvidia?,Motley Fool,STORY,https://finance.yahoo.com/m/3a6274f0-fbaa-30b1-a320-a9acf6e7158e/can-anything-stop-nvidia%3F.html,0.557,POSITIVE,0.996
11/23/2024,16:01:36,"Advanced Micro Devices, Inc. (AMD) CEO Lisa Su Advocates for Open-Source AI Ecosystem and Holistic Data Center Design in India",Insider Monkey,STORY,https://finance.yahoo.com/news/advanced-micro-devices-inc-amd-160136736.html,0.583,POSITIVE,0.933
11/22/2024,23:22:38,"Advanced Micro Devices, Inc. (AMD) CEO Lisa Su Highlights India’s Role in AI Revolution During Visit, Outlines Semiconductor Plans",Insider Monkey,STORY,https://finance.yahoo.com/news/advanced-micro-devices-inc-amd-232238062.html,0.579,POSITIVE,0.943
11/22/2024,22:17:00,Is AMD Stock a Buy Now?,Motley Fool,STORY,https://finance.yahoo.com/m/2f6c8765-508a-3f17-bddd-1c6314aea15b/is-amd-stock-a-buy-now%3F.html,0.863,POSITIVE,0.89
