date,Total Revenue,Cost Of Revenue,Gross Profit,Operating Income,Operating Expense,Research And Development,Basic EPS
3/31/2023,,,,,,,
6/30/2023,,,,,,,
9/30/2023,806000000.0,46000000.0,760000000.0,-156000000.0,916000000.0,626000000.0,-0.11
12/31/2023,824000000.0,36000000.0,788000000.0,140000000.0,648000000.0,432000000.0,0.08
3/31/2024,928000000.0,41000000.0,887000000.0,22000000.0,865000000.0,584000000.0,0.22
6/30/2024,939000000.0,33000000.0,906000000.0,182000000.0,724000000.0,485000000.0,0.21
9/30/2024,844000000.0,32000000.0,812000000.0,64000000.0,748000000.0,507000000.0,0.1
