Date of Article,Time of Article,title,published,type,link,PTR Headline Sentiment,Flair Headline Sentiment,Flair Score
11/21/2024,22:20:56,Why IonQ Stock Skyrocketed Today,Motley Fool,STORY,https://finance.yahoo.com/m/18caf6e5-c591-3a4f-9d60-9c907ad223b7/why-ionq-stock-skyrocketed.html,0.643,NEGATIVE,1.0
11/21/2024,22:20:25,"Dow Jones Futures: Bulls Run Past Google; 7 Stocks In Buy Zones, MicroStrategy Dives",Investor's Business Daily,STORY,https://finance.yahoo.com/m/8cd900de-5cfb-3f21-b0f6-4966fc9da30b/dow-jones-futures%3A-bulls-run.html,0.528,NEGATIVE,1.0
11/21/2024,22:11:00,"Tesla Stock Drops After Nvidia Earnings, European EV Sales. This Was the Biggest Surprise.",Barrons.com,STORY,https://finance.yahoo.com/m/0c7e97ed-dcbd-3b64-b0ce-dedbb9a23979/tesla-stock-drops-after.html,0.633,NEGATIVE,1.0
11/21/2024,22:08:00,Nvidia Insiders Plan Big Stock Sales. CEO Jensen Huang Isn’t One of Them.,Barrons.com,STORY,https://finance.yahoo.com/m/02b21f6c-8454-3cdf-8948-934e38c6f0d4/nvidia-insiders-plan-big.html,0.624,POSITIVE,0.811
11/21/2024,22:06:42,Nvidia's Stock Was Down Despite Its Amazing Earnings. Here's What History Says Is Coming Next,Motley Fool,STORY,https://finance.yahoo.com/m/b39a89d6-f369-3ba7-8e61-dcbb90774e25/nvidia%27s-stock-was-down.html,0.621,NEGATIVE,1.0
11/21/2024,22:00:00,NVIDIA Announces Upcoming Events for Financial Community,GlobeNewswire,STORY,https://finance.yahoo.com/news/nvidia-announces-upcoming-events-financial-220000095.html,0.545,POSITIVE,0.993
11/21/2024,21:54:39,S&P 500 Gains and Losses Today: Stocks Rise After Nvidia Earnings; Alphabet Falls,Investopedia,STORY,https://finance.yahoo.com/m/73e91fca-5b4e-3edd-99e6-afe80e10c1c4/s%26p-500-gains-and-losses.html,0.572,NEGATIVE,0.996
11/21/2024,21:48:15,"Equities Mostly Rise as Markets Analyze Nvidia Results, Macro Data",MT Newswires,STORY,https://finance.yahoo.com/news/equities-mostly-rise-markets-analyze-214815922.html,0.553,NEGATIVE,0.92
