Fullname,Country,Currency
Italy,ITA,EUR
Spain,SPA,EUR
France,FRA,EUR
Germany,GER,EUR
China,CHI,CNY
Japan,JPN,JPY
United Kingdom,GB,GBP
United States of America,US,USD
