date,strongBuy,buy,hold,sell,strongSell,number of analysts
8/2024,10,19,9,0,0,38
9/2024,11,19,9,0,0,39
10/2024,11,18,9,0,0,38
11/2024,11,18,9,0,0,38
12/2024,11,18,9,0,0,38
