Reported Date,Firm,FromGrade,ToGrade,Outlook
2/2/2018,Piper Sandler,Overweight,Overweight,main
2/2/2018,Morgan Stanley,Overweight,Overweight,main
2/2/2018,Barclays,Overweight,Overweight,main
3/28/2018,Bernstein,,Outperform,init
4/26/2018,Morgan Stanley,Overweight,Overweight,main
4/26/2018,Buckingham Research,Buy,Buy,main
4/27/2018,Argus Research,Buy,Buy,main
6/26/2018,Buckingham Research,Buy,Buy,main
7/12/2018,Wells Fargo,Outperform,Outperform,main
7/17/2018,B of A Securities,Buy,Buy,main
7/19/2018,Morgan Stanley,Overweight,Overweight,main
7/26/2018,Keybanc,Overweight,Overweight,main
8/13/2018,B of A Securities,Buy,Buy,main
9/14/2018,Baird,Outperform,Outperform,main
9/27/2018,BMO Capital,,Outperform,init
10/1/2018,Wells Fargo,Outperform,Outperform,main
10/25/2018,BMO Capital,Outperform,Outperform,main
11/15/2018,Barclays,,Overweight,init
1/29/2019,Jefferies,,Buy,init
3/14/2019,Wedbush,Outperform,Outperform,main
3/21/2019,Deutsche Bank,Buy,Buy,main
4/17/2019,Oppenheimer,Outperform,Outperform,main
4/25/2019,Wedbush,Outperform,Outperform,main
4/25/2019,Morgan Stanley,Overweight,Overweight,main
4/25/2019,Nomura,Buy,Buy,main
5/2/2019,UBS,Neutral,Neutral,main
7/10/2019,Wells Fargo,,Outperform,main
7/11/2019,Morgan Stanley,,Overweight,main
7/19/2019,Barclays,,Overweight,main
7/24/2019,Keybanc,,Overweight,main
7/24/2019,Nomura,,Buy,main
7/24/2019,Raymond James,,Outperform,main
7/24/2019,Credit Suisse,,Outperform,main
7/24/2019,JP Morgan,,Overweight,main
8/1/2019,UBS,,Neutral,main
9/9/2019,Citigroup,,Buy,main
10/25/2019,Raymond James,,Outperform,main
10/25/2019,Morgan Stanley,,Overweight,main
10/28/2019,BMO Capital,,Outperform,main
12/5/2019,Compass Point,,Buy,init
12/16/2019,Morgan Stanley,,Overweight,main
1/6/2020,Wells Fargo,,Overweight,main
1/14/2020,Wedbush,,Outperform,main
1/15/2020,BMO Capital,,Outperform,main
1/16/2020,Oppenheimer,,Outperform,main
1/22/2020,Citigroup,,Buy,main
1/22/2020,Baird,,Outperform,main
1/22/2020,Jefferies,Buy,Buy,main
1/23/2020,Morgan Stanley,,Overweight,main
1/28/2020,Raymond James,,Outperform,main
1/31/2020,Wells Fargo,,Overweight,main
2/3/2020,Keybanc,,Overweight,main
2/3/2020,BMO Capital,,Outperform,main
2/10/2020,Wedbush,Outperform,Outperform,main
2/12/2020,Keybanc,,Overweight,main
2/12/2020,Oppenheimer,,Outperform,main
3/11/2020,Citigroup,,Buy,main
3/11/2020,Baird,,Outperform,main
3/12/2020,Piper Sandler,Overweight,Overweight,main
3/16/2020,Morgan Stanley,,Overweight,main
3/18/2020,Citigroup,Buy,Buy,main
3/23/2020,Keybanc,,Overweight,main
3/23/2020,Morgan Stanley,,Overweight,main
3/26/2020,Barclays,,Overweight,main
3/31/2020,Wells Fargo,,Overweight,main
3/31/2020,Baird,,Outperform,main
3/31/2020,SunTrust Robinson Humphrey,,Buy,main
