date,Pretax Income,Tax Provision
2023-03-31,,
2023-06-30,,32957903000.0
2023-09-30,241940000000.0,31145221000.0
2023-12-31,278426165000.0,26859781000.0
2024-03-31,266543204000.0,41321941000.0
2024-06-30,306310575000.0,58649137000.0
2024-09-30,384187000000.0,
3/31/2023,nan,nan
6/30/2023,nan,32957903000.0
9/30/2023,241940000000,31145221000
12/31/2023,278426165000,26859781000
3/31/2024,266543204000,41321941000
6/30/2024,306310575000,58649137000
9/30/2024,384187000000.0,nan
