date,Pretax Income,Tax Provision
2023-03-31,,
2023-06-30,,
2023-09-30,3168000000.0,837000000.0
2023-12-31,2349000000.0,-468000000.0
2024-03-31,3599000000.0,1033000000.0
2024-06-30,3728000000.0,1043000000.0
2024-09-30,3523000000.0,1003000000.0
3/31/2023,nan,nan
6/30/2023,nan,nan
9/30/2023,3168000000,837000000
12/31/2023,2349000000,-468000000
3/31/2024,3599000000,1033000000
6/30/2024,3728000000,1043000000
9/30/2024,3523000000,1003000000
