date,strongBuy,buy,hold,sell,strongSell,number of analysts
8/2024,7,32,10,0,0,49
9/2024,7,31,10,0,0,48
10/2024,7,30,10,0,0,47
11/2024,7,30,11,0,0,48
12/2024,7,30,11,0,0,48
12/2024,7,29,12,0,0,48
12/2024,7,30,12,0,0,49
