date,strongBuy,buy,hold,sell,strongSell,number of analysts
8/2024,11,45,4,0,0,60
9/2024,11,48,4,0,0,63
10/2024,11,48,4,0,0,63
11/2024,11,49,4,0,0,64
11/2024,12,48,4,0,0,64
11/2024,12,47,4,0,0,63
12/2024,12,47,4,0,0,63
12/2024,12,48,4,0,0,64
