Reported Date,Firm,FromGrade,ToGrade,Outlook
8/11/2017,Citigroup,,Buy,main
8/14/2017,Canaccord Genuity,,Buy,main
9/18/2017,B of A Securities,,Buy,main
10/4/2017,Barclays,,Equal-Weight,main
11/8/2017,Deutsche Bank,,Hold,main
11/10/2017,Nomura,Reduce,Neutral,up
11/10/2017,Morgan Stanley,,Equal-Weight,main
11/10/2017,Loop Capital,,Buy,main
11/10/2017,BMO Capital,,Underperform,main
11/10/2017,B of A Securities,,Buy,main
11/10/2017,Barclays,,Equal-Weight,main
11/13/2017,BMO Capital,Underperform,Market Perform,up
11/17/2017,Canaccord Genuity,,Buy,main
2/9/2018,Citigroup,Buy,Buy,main
2/9/2018,Deutsche Bank,Hold,Hold,main
2/9/2018,Morgan Stanley,Equal-Weight,Equal-Weight,main
2/9/2018,B. Riley Securities,Buy,Buy,main
2/9/2018,BMO Capital,Market Perform,Market Perform,main
4/5/2018,UBS,,Neutral,init
4/9/2018,Morgan Stanley,Equal-Weight,Overweight,up
4/10/2018,Morgan Stanley,Equal-Weight,Overweight,up
5/3/2018,Barclays,Equal-Weight,Overweight,up
5/8/2018,Deutsche Bank,Hold,Hold,main
5/11/2018,Barclays,Overweight,Overweight,main
5/11/2018,B. Riley Securities,Buy,Buy,main
5/11/2018,UBS,Neutral,Neutral,main
5/17/2018,Cowen & Co.,,Outperform,init
6/26/2018,Benchmark,,Buy,init
6/26/2018,FBN Securities,,Outperform,init
8/15/2018,Wells Fargo,Underperform,Outperform,up
8/17/2018,Stifel,Hold,Hold,main
8/17/2018,Oppenheimer,Perform,Outperform,up
9/25/2018,Keybanc,,Sector Weight,init
10/30/2018,JP Morgan,Neutral,Overweight,up
11/8/2018,Morgan Stanley,Overweight,Overweight,main
11/12/2018,Citigroup,Buy,Buy,main
11/13/2018,Susquehanna,Neutral,Positive,up
11/13/2018,B. Riley Securities,Buy,Buy,main
11/16/2018,B. Riley Securities,Buy,Neutral,down
11/16/2018,Goldman Sachs,Conviction Buy,Buy,down
11/16/2018,Deutsche Bank,Hold,Hold,main
11/16/2018,Mizuho,Buy,Buy,main
11/16/2018,Barclays,Overweight,Overweight,main
11/16/2018,Wells Fargo,Outperform,Outperform,main
11/16/2018,Nomura,Neutral,Neutral,main
11/16/2018,BMO Capital,Market Perform,Market Perform,main
11/16/2018,Raymond James,Outperform,Outperform,main
11/16/2018,Jefferies,Buy,Buy,main
11/20/2018,Exane BNP Paribas,Neutral,Underperform,down
11/26/2018,Credit Suisse,,Outperform,init
12/12/2018,RBC Capital,Outperform,Outperform,main
12/27/2018,RBC Capital,Outperform,Outperform,reit
1/29/2019,UBS,Neutral,Buy,up
1/29/2019,Morgan Stanley,Overweight,Equal-Weight,down
1/29/2019,Needham,Buy,Underperform,down
2/11/2019,Bernstein,Outperform,Market Perform,down
2/22/2019,Atlantic Equities,,Overweight,init
3/26/2019,Piper Sandler,,Overweight,init
4/3/2019,Nomura,,Neutral,init
4/12/2019,DZ Bank,,Sell,down
5/13/2019,Morgan Stanley,,Equal-Weight,main
5/14/2019,Stifel,,Hold,main
5/17/2019,UBS,,Buy,main
5/17/2019,Summit Insights Group,Buy,Hold,down
6/6/2019,Barclays,,Overweight,main
6/27/2019,Wedbush,,Outperform,init
7/11/2019,Cascend,Hold,Buy,up
8/16/2019,Morgan Stanley,,Equal-Weight,main
9/23/2019,SunTrust Robinson Humphrey,,Buy,main
10/7/2019,RBC Capital,,Outperform,main
10/7/2019,Evercore ISI Group,,Outperform,main
10/15/2019,B of A Securities,,Buy,main
10/15/2019,Cascend,,Buy,main
10/22/2019,Wells Fargo,,Outperform,main
11/11/2019,UBS,,Buy,main
11/11/2019,Deutsche Bank,,Hold,main
11/12/2019,Oppenheimer,,Outperform,main
11/12/2019,Cascend,,Buy,main
11/15/2019,Wells Fargo,,Outperform,main
11/15/2019,Citigroup,,Buy,main
11/15/2019,B of A Securities,,Buy,main
11/15/2019,New Street Research,Buy,Neutral,down
11/15/2019,Craig-Hallum,Hold,Buy,up
11/15/2019,Mizuho,,Buy,main
11/15/2019,Benchmark,,Buy,main
11/15/2019,Raymond James,,Outperform,reit
11/15/2019,Morgan Stanley,,Equal-Weight,main
11/15/2019,Nomura,,Neutral,main
11/15/2019,Barclays,,Overweight,main
11/15/2019,JP Morgan,,Overweight,main
11/15/2019,SunTrust Robinson Humphrey,,Buy,main
11/25/2019,Morgan Stanley,Equal-Weight,Overweight,up
11/25/2019,Cascend,,Buy,main
12/17/2019,Piper Sandler,,Overweight,main
12/20/2019,Wells Fargo,,Overweight,main
12/31/2019,Benchmark,,Buy,main
1/10/2020,B of A Securities,,Buy,reit
1/13/2020,Needham,Underperform,Hold,up
1/13/2020,Argus Research,,Buy,main
1/13/2020,Craig-Hallum,,Buy,reit
1/15/2020,Piper Sandler,,Overweight,main
1/23/2020,UBS,,Buy,main
2/10/2020,RBC Capital,,Outperform,main
2/11/2020,Wells Fargo,,Overweight,main
2/11/2020,Oppenheimer,,Outperform,main
2/12/2020,Wedbush,,Outperform,main
2/12/2020,Susquehanna,,Positive,main
2/13/2020,Cascend,,Buy,main
