date,Open,High,Low,Close,Volume,Dividends,Stock Splits
9/14/2023,56.09999847412109,66.27999877929688,55.540000915527344,63.59000015258789,130534500,0.0,0.0
9/15/2023,68.62999725341797,69.0,60.75,60.75,74568900,0.0,0.0
9/18/2023,57.95000076293945,58.74100112915039,55.02000045776367,58.0,34571900,0.0,0.0
9/19/2023,56.25,56.77999877929688,53.880001068115234,55.16999816894531,18308600,0.0,0.0
9/20/2023,55.16999816894531,55.400001525878906,51.52000045776367,52.90999984741211,16369500,0.0,0.0
9/21/2023,51.77999877929688,52.79999923706055,49.84999847412109,52.15999984741211,14980700,0.0,0.0
9/22/2023,52.900001525878906,52.900001525878906,50.35499954223633,51.31999969482422,8430200,0.0,0.0
9/25/2023,51.119998931884766,54.5,50.02000045776367,54.43999862670898,12896500,0.0,0.0
9/26/2023,53.93000030517578,54.52999877929688,52.70000076293945,53.52000045776367,6283500,0.0,0.0
9/27/2023,54.400001525878906,54.40999984741211,51.78900146484375,52.9900016784668,6866700,0.0,0.0
9/28/2023,53.5,56.5,52.86000061035156,55.4900016784668,8765800,0.0,0.0
9/29/2023,56.209999084472656,56.790000915527344,53.08000183105469,53.52000045776367,7797500,0.0,0.0
10/2/2023,53.47499847412109,54.18999862670898,51.90999984741211,52.2599983215332,8857100,0.0,0.0
10/3/2023,51.959999084472656,52.23500061035156,50.79999923706055,51.56999969482422,4687700,0.0,0.0
10/4/2023,51.970001220703125,53.810001373291016,51.310001373291016,53.459999084472656,6206500,0.0,0.0
10/5/2023,53.900001525878906,53.900001525878906,52.09000015258789,52.5099983215332,2984400,0.0,0.0
10/6/2023,52.720001220703125,54.209999084472656,51.54999923706055,54.08000183105469,4004900,0.0,0.0
10/9/2023,54.31999969482422,55.79999923706055,53.369998931884766,54.25,7197700,0.0,0.0
10/10/2023,55.2400016784668,55.86000061035156,54.20000076293945,55.709999084472656,5138100,0.0,0.0
10/11/2023,56.16999816894531,56.33000183105469,54.380001068115234,54.68000030517578,4454700,0.0,0.0
10/12/2023,54.75,54.75,51.40999984741211,51.84999847412109,7323100,0.0,0.0
10/13/2023,52.5,52.560001373291016,50.0,50.77999877929688,6454600,0.0,0.0
10/16/2023,51.040000915527344,52.34999847412109,51.040000915527344,52.09000015258789,3316800,0.0,0.0
10/17/2023,51.0,52.7599983215332,50.650001525878906,52.290000915527344,2549700,0.0,0.0
10/18/2023,52.27999877929688,52.70000076293945,51.275001525878906,51.900001525878906,2268900,0.0,0.0
10/19/2023,52.0,52.70000076293945,49.52999877929688,49.7400016784668,4553400,0.0,0.0
10/20/2023,49.7400016784668,49.7400016784668,46.5,47.869998931884766,8079700,0.0,0.0
10/23/2023,47.220001220703125,51.880001068115234,46.5,50.209999084472656,9979300,0.0,0.0
10/24/2023,52.0,52.891998291015625,51.04999923706055,52.369998931884766,7211700,0.0,0.0
10/25/2023,52.70000076293945,52.790000915527344,49.310001373291016,49.43999862670898,4518800,0.0,0.0
10/26/2023,50.060001373291016,51.11000061035156,49.5,50.16999816894531,3555300,0.0,0.0
10/27/2023,51.2599983215332,51.33000183105469,48.810001373291016,49.09000015258789,2611300,0.0,0.0
10/30/2023,49.5099983215332,49.900001525878906,47.27999877929688,47.900001525878906,3677700,0.0,0.0
10/31/2023,47.900001525878906,49.65999984741211,47.119998931884766,49.290000915527344,3248700,0.0,0.0
