rank,Company,Symbol,Weight (Percentage),Price,Chg,Change (Percentage)
450,Carmax Inc.,KMX,0.02,76.55,1.25,1.65
451,Universal Health Services Inc. Class B,UHS,0.02,199.89,3.1,1.58
452,Norwegian Cruise Line Holdings Ltd.s,NCLH,0.02,26.04,-0.3,-1.16
453,Juniper Networks Inc,JNPR,0.02,35.84,0.76,2.18
454,Bxp Inc.,BXP,0.02,79.06,-0.36,-0.46
455,Assurant Inc.,AIZ,0.02,221.26,2.09,0.95
456,Incyte Genomics Inc,INCY,0.02,71.06,0.5,0.7
457,News Corporation Class A,NWSA,0.02,29.14,0.34,1.18
458,Generac Holdings Inc,GNRC,0.02,179.91,-0.03,-0.02
459,Lamb Weston Holdings Inc.,LW,0.02,75.95,0.88,1.17
460,Molson Coors Beverage Company Class B,TAP,0.02,60.34,-0.46,-0.76
461,Catalent Inc.,CTLT,0.02,59.0,0.11,0.2
462,Paycom Software Inc.,PAYC,0.02,218.16,1.24,0.57
463,Bio-Techne Corp.,TECH,0.02,68.9,2.53,3.81
464,Erie Indemnity Co,ERIE,0.02,419.48,3.03,0.73
465,The Interpublic Group of Companies Inc.,IPG,0.02,28.39,0.73,2.62
466,Pinnacle West Capital Corporation,PNW,0.02,91.8,0.84,0.93
467,Fox Corporation Class A,FOXA,0.02,45.73,-0.03,-0.07
468,Marketaxess Holdings Inc.,MKTX,0.02,265.31,-2.5,-0.93
469,Lkq Corporation,LKQ,0.02,37.31,-0.29,-0.77
470,Globe Life Inc.,GL,0.02,108.72,-0.6,-0.55
471,Aes Corporation,AES,0.02,13.33,-0.42,-3.05
472,Charles River Laboratories International Inc.,CRL,0.02,187.95,1.84,0.99
473,Henry Schein Inc,HSIC,0.02,73.49,-1.36,-1.81
474,Solventum Corporation,SOLV,0.02,68.45,1.39,2.08
475,Teleflex Incorporated,TFX,0.02,187.44,-5.63,-2.92
476,Hormel Foods Corporation,HRL,0.02,30.26,0.52,1.77
477,Mgm Resorts International,MGM,0.02,37.4,0.13,0.35
478,Campbell Soup Company,CPB,0.02,43.62,0.09,0.2
479,A.O. Smith Corporation,AOS,0.02,71.76,0.34,0.48
480,Wynn Resorts Ltd,WYNN,0.02,90.5,-0.75,-0.82
481,Federal Realty Investment Trust,FRT,0.02,113.1,-0.14,-0.12
482,Enphase Energy Inc.,ENPH,0.02,63.28,1.91,3.12
483,Ralph Lauren Corporation,RL,0.02,198.13,-7.4,-3.6
484,Apa Corporation,APA,0.02,22.13,0.21,0.95
485,The Mosaic Company,MOS,0.02,25.37,-0.02,-0.09
486,Caesars Entertainment Inc.,CZR,0.02,37.67,0.28,0.76
487,Hasbro Inc.,HAS,0.02,61.89,0.13,0.2
488,Celanese Corporation,CE,0.02,73.08,0.88,1.21
489,Match Group Inc,MTCH,0.02,30.4,0.11,0.36
490,Invesco Ltd,IVZ,0.02,17.4,0.13,0.72
491,Borgwarner Inc.,BWA,0.02,33.32,0.18,0.56
492,Huntington Ingalls Industries Inc.,HII,0.01,190.74,-0.88,-0.46
493,Brown-Forman Corporation Class B,BF.B,0.01,40.3,0.08,0.19
494,Davita Inc.,DVA,0.01,161.37,4.39,2.8
495,Mohawk Industries Inc.,MHK,0.01,135.6,-0.04,-0.03
496,Fmc Corporation,FMC,0.01,57.2,1.59,2.86
497,Franklin Resources Inc.,BEN,0.01,21.62,0.14,0.65
498,Qorvo Inc.,QRVO,0.01,66.04,-0.25,-0.37
499,Paramount Global Class B,PARA,0.01,10.57,0.24,2.32
500,Walgreens Boots Alliance Inc,WBA,0.01,8.23,-0.06,-0.72
501,Fox Corporation Class B,FOX,0.01,43.37,0.16,0.37
502,News Corporation Class B,NWS,0.01,31.69,-0.09,-0.28
503,Amentum Holdings Inc.,AMTM,0.01,22.53,0.58,2.67
