date,market capitalization,market weight
11/21/2024,3597814988800,0.18725134000000002
11/25/2024,3331129868288,0.1735737912539422
11/27/2024,3314476646400,0.1737149727191291
11/28/2024,3314476646400,0.17369338429169948
11/29/2024,3385742589952,0.17581211446876097
12/3/2024,3434967203840,0.17576674501198278
12/4/2024,3554478653440,0.17854295407713017
12/5/2024,3554477867008,0.17936156579760945
12/9/2024,3399456915456,0.17208815399319294
12/10/2024,3307864588288,0.16967690580456601
12/11/2024,3411701923840,0.1725188993906561
12/12/2024,3363456679936,0.17093848077162696
12/13/2024,3411708739584,0.17273577369407653
