date,Pretax Income,Tax Provision
2023-04-30,,
2023-07-31,,
2023-10-31,10522000000.0,1279000000.0
2024-01-31,14106000000.0,1821000000.0
2024-04-30,17279000000.0,2398000000.0
2024-07-31,19214000000.0,2615000000.0
2024-10-31,22316000000.0,3007000000.0
4/30/2023,nan,nan
7/31/2023,nan,nan
10/31/2023,10522000000,1279000000
1/31/2024,14106000000,1821000000
4/30/2024,17279000000,2398000000
7/31/2024,19214000000,2615000000
10/31/2024,22316000000,3007000000
